,(+)-2-Phenylbutyric acid,(+)-Camphor,(+)-Carvone,(+)-Dihydrocarvone,(+)-Fenchone,(-)-2-Phenylbutyric acid,(-)-Camphor,,(-)-Carvone,(-)-Fenchone,(-)-b-Citronellol,1-Decanol,1-Heptanol,1-Hexanol,1-Nonanol,1-Octanol,1-Pentanol,,2-Coumaranone,2-Heptanone,2-Hexanone,2-Nonanone,2-Octanone,2-Pentanone,23-Hexanedione,3-Heptanone,,3-Octanone,34-Hexanedione,4-Chromanone,4-Hydroxycoumarin,Acetophenone,Allyl benzene,Allyl heptanoate,,Allyl phenylacetate,Amyl hexanoate ,Benzene,Benzophenone,Benzyl acetate,Butyl butyryllactate,Butyl formate,Coumarin,,Cyclohexanone,Decanal,Decanoic acid,Dihydrojasmone,Ethyl isobutyrate,Geraniol,Heptanal,Heptanoic acid,Hexanal,,Hexanoic acid,Hexyl acetate,Lyral,Nonanal,Nonanethiol,Nonanoic acid,Octanal,Octanethiol,Octanoic acid,,Pentanoic acid,Phenyl acetate,Prenyl acetate,Propionic acid,Vanillic acid,g-Caprolactone
MOR1-1,0,0,0,0,0,0,0,MOR1-1,0,0,0,0,0,0,0,0,0,MOR1-1,-4.138,0,0,0,0,0,0,0,MOR1-1,0,0,0,0,0,0,0,MOR1-1,-3.581,0,0,0,0,0,0,0,MOR1-1,0,0,0,0,0,0,0,-3.823,-3.987,MOR1-1,-4.625,0,0,0,0,0,0,0,0,MOR1-1,-4.613,0,0,0,0,0
MOR105-1,0,0,0,0,0,0,0,MOR105-1,0,0,0,0,0,0,0,0,0,MOR105-1,0,0,0,0,0,0,0,0,MOR105-1,0,0,0,0,-3.429,-3.332,0,MOR105-1,0,0,0,0,0,0,0,0,MOR105-1,0,0,0,0,0,0,0,0,0,MOR105-1,0,0,0,0,0,0,0,0,0,MOR105-1,0,0,0,0,0,0
MOR106-1,0,0,0,0,0,0,0,MOR106-1,0,0,0,0,0,0,0,0,0,MOR106-1,0,0,0,0,0,0,0,0,MOR106-1,0,0,0,0,-3.854,-3.921,0,MOR106-1,0,0,0,0,0,0,0,-3.919,MOR106-1,0,0,0,0,0,0,0,0,0,MOR106-1,0,0,0,0,0,0,0,0,0,MOR106-1,0,-3.874,0,0,0,0
MOR107-1,0,-4.15,0,0,0,0,-3.704,MOR107-1,0,-4.302,0,0,0,0,0,0,0,MOR107-1,0,0,0,0,0,0,0,0,MOR107-1,0,0,0,0,0,0,0,MOR107-1,0,0,0,0,0,0,0,0,MOR107-1,0,0,0,0,0,0,0,0,0,MOR107-1,0,0,0,0,0,0,0,0,0,MOR107-1,0,0,0,0,0,0
MOR128-2,0,-3.772,0,0,0,0,-4.373,MOR128-2,0,0,0,0,0,0,0,0,0,MOR128-2,0,0,0,0,0,0,0,0,MOR128-2,0,0,0,0,0,0,0,MOR128-2,0,0,0,0,0,0,0,0,MOR128-2,0,0,0,0,0,0,0,0,0,MOR128-2,0,0,0,0,0,0,0,0,0,MOR128-2,0,0,0,0,0,0
MOR129-1,0,0,-4.145,0,0,0,0,MOR129-1,0,0,0,0,0,0,0,0,0,MOR129-1,0,0,0,0,0,0,0,0,MOR129-1,0,0,-3.785,0,-5.484,0,0,MOR129-1,0,0,0,0,0,0,0,-4.04,MOR129-1,0,0,0,0,0,0,0,0,0,MOR129-1,0,0,0,0,0,0,0,0,0,MOR129-1,0,0,0,0,0,0
MOR136-1,0,-4.749,0,-3.498,-4.626,0,-4.952,MOR136-1,0,-4.481,-3.347,0,0,0,0,0,0,MOR136-1,0,0,0,0,0,0,0,0,MOR136-1,0,0,0,0,0,0,0,MOR136-1,0,0,0,0,0,0,0,0,MOR136-1,-3.065,0,0,0,0,0,0,0,0,MOR136-1,0,0,0,0,0,0,0,0,0,MOR136-1,0,0,0,0,0,0
MOR139-1,0,-3.681,-4.032,-3.637,-3.773,0,-3.902,MOR139-1,-3.861,-3.879,0,0,0,0,0,0,0,MOR139-1,-3.585,0,0,0,0,0,0,0,MOR139-1,0,0,-4.028,0,-3.935,0,0,MOR139-1,-3.625,0,0,0,-3.729,0,0,-3.749,MOR139-1,-3.138,0,0,-4.308,0,-3.939,0,0,0,MOR139-1,0,0,0,0,0,0,0,0,0,MOR139-1,0,-3.421,-3.385,0,0,0
MOR140-1,0,0,0,0,0,0,0,MOR140-1,0,0,0,0,0,0,0,0,0,MOR140-1,0,0,0,0,0,0,0,0,MOR140-1,0,0,0,0,0,0,0,MOR140-1,0,0,0,0,0,0,0,0,MOR140-1,0,0,0,-3.614,0,0,0,0,0,MOR140-1,0,0,0,0,0,0,0,0,0,MOR140-1,0,0,0,0,0,0
MOR15-1,0,0,0,0,0,0,0,MOR15-1,0,0,0,0,0,0,0,0,0,MOR15-1,0,0,0,0,0,0,0,0,MOR15-1,0,0,0,0,0,0,0,MOR15-1,0,0,0,0,0,0,0,0,MOR15-1,0,0,0,0,0,0,0,0,0,MOR15-1,0,0,0,0,0,0,0,0,0,MOR15-1,0,0,0,0,-3.587,0
MOR161-1,0,0,0,0,0,0,0,MOR161-1,0,0,0,0,0,0,0,0,0,MOR161-1,0,0,0,0,0,0,0,0,MOR161-1,0,0,0,0,-3.825,0,0,MOR161-1,0,0,0,0,0,0,0,-3.139,MOR161-1,0,0,0,0,0,0,0,0,0,MOR161-1,0,0,0,0,0,0,0,0,0,MOR161-1,0,0,0,0,0,0
MOR162-1,0,0,0,0,0,0,0,MOR162-1,0,0,0,0,0,0,0,0,0,MOR162-1,0,0,0,0,0,0,0,0,MOR162-1,0,0,-4.225,0,-4.778,0,0,MOR162-1,0,0,0,-3.666,0,0,0,-4.483,MOR162-1,0,0,0,0,0,0,0,0,0,MOR162-1,0,0,0,0,0,0,0,0,0,MOR162-1,0,0,0,0,0,0
MOR170-1,0,0,0,0,0,0,0,MOR170-1,0,0,0,0,0,0,0,0,0,MOR170-1,0,0,0,0,0,0,0,0,MOR170-1,0,0,-4.209,0,-3.9,0,0,MOR170-1,0,0,0,0,0,0,0,-3.969,MOR170-1,0,0,0,0,0,0,0,0,0,MOR170-1,0,0,0,0,0,0,0,0,0,MOR170-1,0,0,0,0,0,0
MOR18-1,0,0,0,0,0,0,0,MOR18-1,0,0,0,0,0,0,0,0,0,MOR18-1,0,0,0,0,0,0,0,0,MOR18-1,0,0,0,0,0,0,0,MOR18-1,0,0,0,0,0,0,0,0,MOR18-1,0,0,0,0,0,0,0,0,0,MOR18-1,0,0,0,0,0,-4.077,0,0,0,MOR18-1,0,0,0,0,0,0
MOR180-1,0,0,0,0,0,0,0,MOR180-1,0,0,0,0,0,0,0,0,0,MOR180-1,0,0,0,0,0,0,0,0,MOR180-1,0,0,0,0,0,0,0,MOR180-1,0,0,0,0,0,0,0,0,MOR180-1,0,0,0,0,0,0,0,0,0,MOR180-1,0,0,0,0,0,0,0,0,0,MOR180-1,0,0,-3.18,0,0,0
MOR182-1,0,0,0,-3.406,0,0,0,MOR182-1,0,0,0,0,0,0,0,0,0,MOR182-1,0,0,0,0,0,0,0,0,MOR182-1,0,0,0,0,0,0,0,MOR182-1,0,0,0,0,0,0,0,0,MOR182-1,0,0,0,0,0,0,0,0,0,MOR182-1,0,0,0,0,0,0,0,0,0,MOR182-1,0,0,0,0,0,0
MOR184-1,0,0,-3.812,-3.55,0,0,0,MOR184-1,-3.92,0,0,0,0,0,0,0,0,MOR184-1,0,0,0,0,0,0,0,0,MOR184-1,0,0,0,0,0,0,0,MOR184-1,0,0,0,0,0,0,0,0,MOR184-1,0,0,0,0,0,0,0,0,0,MOR184-1,0,0,0,0,0,0,0,0,0,MOR184-1,0,0,0,0,0,0
MOR185-1,0,-3.18,0,0,0,0,0,MOR185-1,0,0,0,0,0,0,0,0,0,MOR185-1,0,0,0,0,0,0,0,0,MOR185-1,0,0,-3.833,0,-4.016,0,0,MOR185-1,0,0,0,0,0,0,0,-4.042,MOR185-1,-3.594,0,0,0,0,0,0,0,0,MOR185-1,0,0,0,0,0,0,0,0,0,MOR185-1,0,0,0,0,0,-3.185
MOR189-1,0,-3.631,-4.302,-3.976,-4.423,0,-4.639,MOR189-1,-4.147,-4.239,0,0,0,0,0,0,0,MOR189-1,0,0,0,0,0,0,0,0,MOR189-1,0,0,-3.664,0,-3.372,0,0,MOR189-1,0,0,0,0,0,0,0,-3.215,MOR189-1,0,0,0,-3.945,0,0,0,0,0,MOR189-1,0,0,0,0,0,0,0,0,0,MOR189-1,0,0,0,0,0,0
MOR2-1,-3.499,0,0,0,0,-2.982,0,MOR2-1,0,0,0,0,0,0,0,0,0,MOR2-1,0,0,0,0,0,0,0,0,MOR2-1,0,0,0,0,0,0,0,MOR2-1,-3.253,0,0,0,0,0,0,0,MOR2-1,0,0,0,0,0,0,0,0,0,MOR2-1,0,0,0,0,0,0,0,0,0,MOR2-1,0,0,0,0,0,0
MOR203-1,0,0,-3.814,-4.241,0,0,0,MOR203-1,-3.936,0,-3.147,-3.299,-3.387,0,-4.456,-3.563,0,MOR203-1,0,-4.76,0,-5.064,-5.023,0,0,-4.099,MOR203-1,-4.4,0,0,0,0,0,0,MOR203-1,-3.401,0,0,0,-3.531,0,0,0,MOR203-1,0,0,-3.751,0,0,-3.622,0,0,0,MOR203-1,0,0,0,0,-3.528,-3.476,0,-3.356,0,MOR203-1,0,-3.039,-3.907,0,0,-4.001
MOR204-6,0,0,-3.85,0,0,0,0,MOR204-6,-3.625,0,0,0,0,0,0,0,0,MOR204-6,0,0,0,0,0,0,0,0,MOR204-6,0,0,0,0,0,0,0,MOR204-6,0,0,0,0,0,0,0,-5.099,MOR204-6,0,0,0,0,0,0,0,0,0,MOR204-6,0,0,0,0,0,0,0,0,0,MOR204-6,0,0,0,0,0,0
MOR205-1,0,0,0,0,0,0,0,MOR205-1,0,0,0,0,0,0,0,0,0,MOR205-1,0,0,0,0,0,0,0,0,MOR205-1,0,0,0,0,0,0,0,MOR205-1,0,0,0,0,0,0,0,0,MOR205-1,0,0,0,-4.699,0,0,0,0,0,MOR205-1,0,0,0,0,0,0,0,0,0,MOR205-1,0,0,0,0,0,0
MOR207-1,0,0,0,0,0,0,0,MOR207-1,0,0,0,0,0,0,0,0,0,MOR207-1,0,0,0,0,0,0,0,0,MOR207-1,0,0,-3.724,0,-3.606,0,0,MOR207-1,0,0,0,0,0,0,0,-3.905,MOR207-1,0,0,0,0,0,0,0,0,0,MOR207-1,0,0,0,0,0,0,0,0,0,MOR207-1,0,0,0,0,0,0
MOR222-1,0,0,0,0,0,0,0,MOR222-1,0,0,0,0,0,0,0,0,0,MOR222-1,0,0,0,0,0,0,0,0,MOR222-1,0,0,-3.616,0,0,0,0,MOR222-1,-3.369,0,0,0,0,0,0,0,MOR222-1,0,0,0,0,0,0,0,0,0,MOR222-1,0,0,0,0,0,0,0,0,0,MOR222-1,0,0,0,0,0,0
MOR223-1,0,0,0,0,0,0,0,MOR223-1,0,0,0,0,0,0,0,0,0,MOR223-1,0,0,0,0,0,0,0,0,MOR223-1,0,0,0,0,0,0,0,MOR223-1,-4.178,0,0,0,-3.841,0,0,0,MOR223-1,0,0,0,0,0,0,0,0,0,MOR223-1,0,0,0,0,0,0,0,0,0,MOR223-1,0,-3.487,0,0,0,0
MOR23-1,0,0,0,0,0,0,0,MOR23-1,0,0,0,0,0,0,0,0,0,MOR23-1,0,0,0,0,0,0,0,0,MOR23-1,0,0,0,0,0,0,0,MOR23-1,0,0,0,0,0,0,0,0,MOR23-1,0,0,0,0,0,0,0,-4.856,0,MOR23-1,0,0,0,0,0,0,0,0,-5.083,MOR23-1,0,0,0,0,0,0
MOR236-1,0,0,0,0,0,0,0,MOR236-1,0,0,0,0,0,0,0,0,0,MOR236-1,0,0,0,0,0,0,0,0,MOR236-1,0,0,0,0,0,0,0,MOR236-1,-4.052,0,0,0,0,0,0,0,MOR236-1,0,0,0,0,0,-3.843,0,0,0,MOR236-1,0,0,0,0,0,0,0,0,0,MOR236-1,0,0,0,0,0,0
MOR25-1,0,0,0,0,0,0,0,MOR25-1,0,0,0,0,0,0,0,0,0,MOR25-1,0,0,0,0,0,0,0,0,MOR25-1,0,0,0,0,0,0,0,MOR25-1,0,0,0,0,0,0,0,0,MOR25-1,0,0,-4.194,0,0,0,0,0,0,MOR25-1,0,0,0,0,0,0,0,0,-3.689,MOR25-1,0,0,0,0,0,0
MOR250-1,0,0,-3.938,0,0,0,0,MOR250-1,0,0,0,0,0,0,0,0,0,MOR250-1,0,0,0,0,0,0,0,0,MOR250-1,0,0,0,0,-3.975,0,0,MOR250-1,0,0,0,0,0,0,0,-3.855,MOR250-1,0,0,0,0,0,0,0,0,0,MOR250-1,0,0,0,0,0,0,0,0,0,MOR250-1,0,-3.545,0,0,0,0
MOR251-1,0,-3.31,0,0,0,0,0,MOR251-1,0,0,0,0,0,0,0,0,0,MOR251-1,0,0,0,0,0,0,0,0,MOR251-1,0,0,0,0,0,0,0,MOR251-1,0,0,0,0,0,0,0,0,MOR251-1,-3.193,0,0,0,0,0,0,0,0,MOR251-1,0,0,0,0,0,0,0,0,0,MOR251-1,0,0,0,0,0,0
MOR253-1,0,0,0,0,0,0,0,MOR253-1,0,0,0,0,0,0,0,0,0,MOR253-1,0,0,0,0,0,0,0,0,MOR253-1,0,0,0,0,0,0,0,MOR253-1,0,0,0,0,0,0,0,0,MOR253-1,-3.219,0,0,0,0,0,0,0,0,MOR253-1,0,0,0,0,0,0,0,0,0,MOR253-1,0,0,0,0,0,0
MOR256-17,0,0,0,0,0,0,0,MOR256-17,0,0,0,0,0,0,0,0,0,MOR256-17,-4.575,0,0,0,0,0,-4.838,0,MOR256-17,0,-4.921,0,0,0,-4.146,0,MOR256-17,-3.842,-4.462,0,0,0,0,0,0,MOR256-17,-4.1,0,-4.627,0,0,0,0,0,0,MOR256-17,0,0,-4.255,0,0,-4.694,0,-4.388,-4.41,MOR256-17,0,0,0,0,0,0
MOR258-1,0,0,0,0,0,0,0,MOR258-1,0,0,0,0,0,0,0,0,0,MOR258-1,-4.268,0,0,0,0,0,0,0,MOR258-1,0,0,0,0,-3.356,0,0,MOR258-1,0,0,0,0,0,0,0,-4.296,MOR258-1,-3.824,0,0,0,0,0,0,0,0,MOR258-1,0,0,0,0,0,0,0,0,0,MOR258-1,0,0,-3.099,0,0,-3.38
MOR259-1,0,0,0,0,0,0,0,MOR259-1,0,0,0,0,0,0,0,0,0,MOR259-1,-3.63,0,0,0,0,0,0,0,MOR259-1,0,0,0,0,0,0,0,MOR259-1,0,0,0,-4.442,0,0,0,-3.834,MOR259-1,0,0,0,0,0,0,0,0,0,MOR259-1,0,0,0,0,0,0,0,0,0,MOR259-1,0,0,0,0,0,0
MOR260-1,0,0,0,0,0,0,0,MOR260-1,0,0,0,0,0,0,0,0,0,MOR260-1,0,0,0,0,0,0,0,0,MOR260-1,0,0,0,0,0,0,0,MOR260-1,0,0,0,0,0,0,0,0,MOR260-1,0,0,-3.542,0,0,0,0,0,0,MOR260-1,0,0,0,0,-4.468,-4.106,0,0,0,MOR260-1,0,0,0,0,0,0
MOR261-1,0,0,0,0,0,0,0,MOR261-1,0,0,0,-3.273,-3.382,0,-4.914,-5.192,0,MOR261-1,0,0,0,0,0,0,0,0,MOR261-1,0,0,0,0,0,0,0,MOR261-1,-3.425,0,0,0,-3.352,0,0,0,MOR261-1,0,0,0,0,0,0,0,0,0,MOR261-1,0,0,0,0,-3.376,0,0,0,0,MOR261-1,0,0,0,0,0,0
MOR268-1,0,0,0,0,0,0,0,MOR268-1,0,0,0,0,0,0,0,-3.63,0,MOR268-1,0,0,0,0,0,0,0,0,MOR268-1,0,0,0,0,0,0,0,MOR268-1,-3.434,0,0,0,0,0,0,0,MOR268-1,0,0,0,0,0,-3.897,0,0,0,MOR268-1,0,0,0,0,-3.589,0,0,0,0,MOR268-1,0,0,0,0,0,0
MOR269-1,0,0,0,0,0,0,0,MOR269-1,0,0,0,0,0,0,0,0,0,MOR269-1,0,0,0,0,0,0,0,0,MOR269-1,0,0,0,0,0,0,0,MOR269-1,0,0,0,-3.662,0,0,0,0,MOR269-1,0,0,0,0,0,0,0,0,0,MOR269-1,0,0,0,0,0,0,0,0,0,MOR269-1,0,0,0,0,0,0
MOR271-1,0,0,-4.096,-3.987,-4.869,0,0,MOR271-1,-4.14,0,0,0,-3.47,0,0,0,0,MOR271-1,0,-4.581,-4.936,0,0,-5.111,-4.824,-5.235,MOR271-1,-4.139,-4.734,-4.047,0,-4.05,0,0,MOR271-1,-4.23,0,-4.005,0,-5.379,0,0,0,MOR271-1,-3.463,0,0,-4.126,-4.077,0,0,0,-3.322,MOR271-1,0,0,0,0,0,0,0,0,0,MOR271-1,0,0,-5.033,0,0,-3.18
MOR272-1,0,0,-4.564,-4.273,-4.36,0,0,MOR272-1,0,-3.558,0,0,-4.181,0,0,0,0,MOR272-1,0,-5.073,-4.251,0,-4.575,0,0,-5.221,MOR272-1,-4.197,0,-4.043,0,-3.922,0,0,MOR272-1,-4.824,0,0,0,-4.946,0,0,0,MOR272-1,-3.254,0,0,-4.447,-5.25,0,0,0,0,MOR272-1,0,0,0,0,0,0,0,0,0,MOR272-1,0,0,-5.098,0,0,-3.272
MOR273-1,0,0,0,0,-4.073,0,0,MOR273-1,0,-5.231,0,0,0,0,0,0,0,MOR273-1,0,0,0,0,0,0,0,0,MOR273-1,0,0,-4.201,0,0,0,0,MOR273-1,0,0,0,0,0,0,0,0,MOR273-1,-3.208,0,0,-4.441,-5.761,0,0,0,0,MOR273-1,0,0,0,0,0,0,0,0,0,MOR273-1,0,0,0,0,0,0
MOR277-1,0,-3.519,0,0,0,0,-3.861,MOR277-1,0,0,0,0,0,0,0,0,0,MOR277-1,0,0,0,0,0,0,0,0,MOR277-1,0,0,-3.415,0,0,0,0,MOR277-1,0,0,0,0,0,0,0,0,MOR277-1,-3.566,0,0,0,0,0,0,0,0,MOR277-1,0,0,0,0,0,0,0,0,0,MOR277-1,0,0,0,0,0,0
MOR30-1,0,0,0,0,0,0,0,MOR30-1,0,0,0,0,0,0,0,0,0,MOR30-1,0,0,0,0,0,0,0,0,MOR30-1,0,0,0,0,0,0,0,MOR30-1,0,0,0,0,0,0,0,0,MOR30-1,0,-4.033,-4.987,0,0,0,0,-3.575,0,MOR30-1,0,0,0,-3.914,0,-4.396,0,0,-3.68,MOR30-1,0,0,0,0,0,0
MOR31-1,0,0,0,0,0,0,0,MOR31-1,0,0,0,0,0,0,0,0,0,MOR31-1,0,0,0,0,0,0,0,0,MOR31-1,0,0,0,0,0,0,0,MOR31-1,0,0,0,0,0,0,0,0,MOR31-1,0,0,0,0,0,0,0,-5.2,0,MOR31-1,0,0,0,0,0,0,0,0,0,MOR31-1,0,0,0,0,0,0
MOR33-1,0,0,0,0,0,0,0,MOR33-1,0,0,0,0,0,0,0,0,0,MOR33-1,0,0,0,0,0,0,0,0,MOR33-1,0,0,0,0,0,0,0,MOR33-1,0,0,0,0,0,0,0,0,MOR33-1,0,0,-4.487,0,0,0,0,-4.148,0,MOR33-1,0,0,0,-3.234,0,-4.606,0,0,-4.212,MOR33-1,0,0,0,0,0,0
MOR37-1,0,0,0,0,0,0,0,MOR37-1,0,0,0,0,0,0,0,0,0,MOR37-1,0,0,0,0,0,0,0,0,MOR37-1,0,0,0,0,0,0,0,MOR37-1,0,0,0,0,0,0,0,0,MOR37-1,0,-3.477,-4.323,0,0,0,0,0,0,MOR37-1,0,0,0,-3.295,0,-3.9,0,0,0,MOR37-1,0,0,0,0,0,0
MOR4-1,0,0,0,0,0,0,0,MOR4-1,0,0,0,0,0,0,0,0,0,MOR4-1,0,0,0,0,0,0,0,0,MOR4-1,0,0,0,0,0,0,0,MOR4-1,0,0,0,0,0,0,0,0,MOR4-1,0,0,0,0,0,0,0,0,-3.231,MOR4-1,0,0,0,0,0,0,0,0,0,MOR4-1,0,0,0,0,0,0
MOR40-1,0,0,0,0,0,0,0,MOR40-1,0,0,0,0,0,0,0,0,0,MOR40-1,0,0,0,0,0,0,0,0,MOR40-1,0,0,0,0,0,0,0,MOR40-1,0,0,0,0,0,0,0,0,MOR40-1,0,0,-4.121,0,0,0,0,0,0,MOR40-1,0,0,0,-3.194,0,-4.128,0,0,-3.617,MOR40-1,0,0,0,0,0,0
MOR41-1,0,0,-4.644,-4.301,0,0,0,MOR41-1,-4.257,0,0,0,-3.68,-4.064,0,0,-3.537,MOR41-1,-3.96,0,0,0,0,0,-5.008,0,MOR41-1,0,-4.692,-4.747,-4.344,-5.039,0,0,MOR41-1,0,0,0,0,-3.972,0,0,-4.785,MOR41-1,-3.456,0,0,-3.766,0,0,0,0,0,MOR41-1,0,0,0,0,0,0,0,0,0,MOR41-1,0,-4.143,0,0,0,0
MOR5-1,0,0,0,0,0,0,0,MOR5-1,0,0,0,0,0,0,0,0,0,MOR5-1,0,0,0,0,0,0,0,0,MOR5-1,0,0,0,0,0,0,0,MOR5-1,0,0,0,0,0,0,0,0,MOR5-1,0,0,-3.749,0,0,0,0,-3.583,0,MOR5-1,0,0,0,0,0,-4.029,0,0,-3.711,MOR5-1,0,0,0,0,0,0
MOR9-1,0,0,0,0,0,0,0,MOR9-1,0,0,0,0,0,0,0,0,0,MOR9-1,0,0,0,0,0,0,0,0,MOR9-1,0,0,0,0,0,0,0,MOR9-1,0,0,0,0,0,0,0,0,MOR9-1,0,0,0,0,0,0,0,0,0,MOR9-1,0,0,0,0,0,0,0,0,0,MOR9-1,0,0,0,0,-6.334,0
OR10J5,0,0,0,0,0,0,0,OR10J5,0,0,0,0,0,0,0,0,0,OR10J5,0,0,0,0,0,0,0,0,OR10J5,0,0,0,0,0,0,0,OR10J5,0,0,0,0,0,0,0,0,OR10J5,0,0,0,0,0,0,0,0,0,OR10J5,0,0,-3.489,0,0,0,0,0,0,OR10J5,0,0,0,0,0,0
OR1A1,0,0,-5.035,-4.992,0,0,0,OR1A1,-5.765,0,-4.039,-3.082,-3.013,0,0,0,0,OR1A1,0,-4.399,0,-3.577,-4.37,0,0,-4.712,OR1A1,-5.291,0,-3.335,0,0,0,-3.323,OR1A1,-5.119,0,0,-4.008,-3.391,0,0,0,OR1A1,0,0,0,-7.242,0,-3.467,0,0,0,OR1A1,0,0,0,0,-3.243,0,0,-3.226,0,OR1A1,0,0,0,0,0,0
OR2C1,0,0,0,0,0,0,0,OR2C1,0,0,0,0,0,0,0,0,0,OR2C1,0,0,0,0,0,0,0,0,OR2C1,0,0,0,0,0,0,0,OR2C1,0,0,0,0,0,0,0,0,OR2C1,0,0,0,0,0,0,0,0,0,OR2C1,0,0,0,0,-3.893,0,0,-4.051,0,OR2C1,0,0,0,0,0,0
OR2J2,0,0,0,0,0,0,0,OR2J2,0,0,0,-3.416,-3.271,0,-4.16,-4.16,0,OR2J2,0,0,0,0,0,0,0,0,OR2J2,0,0,0,0,0,0,0,OR2J2,0,0,0,0,0,0,0,-3.682,OR2J2,0,0,0,0,0,0,0,0,0,OR2J2,0,0,0,0,0,0,0,0,0,OR2J2,0,0,0,0,0,0
OR2M7,0,0,0,0,0,0,0,OR2M7,0,0,-3.853,0,0,0,0,0,0,OR2M7,0,0,0,0,0,0,0,0,OR2M7,0,0,0,0,0,0,0,OR2M7,0,0,0,0,0,0,0,0,OR2M7,0,0,0,0,0,-3.203,0,0,0,OR2M7,0,0,0,0,0,0,0,0,0,OR2M7,0,0,0,0,0,0
OR2W1,0,0,-4.646,-4.755,0,0,0,OR2W1,-4.657,0,-5.106,-4.365,-4.831,-4.852,-4.63,-5.128,0,OR2W1,0,-5.142,-4.135,-4.701,-4.399,0,-3.363,-4.477,OR2W1,-5.02,-4.78,-4.041,0,-4.372,0,0,OR2W1,-4.812,0,0,-4.54,-4.786,0,-4.427,-4.065,OR2W1,0,0,-3.756,-4.246,0,-4.736,-4.056,0,-5.102,OR2W1,0,-4.863,0,-3.598,-4.065,-3.723,-4.361,-4.033,-4.847,OR2W1,0,0,-4.071,0,0,0
OR51E1,0,0,0,0,0,0,0,OR51E1,0,0,0,0,0,0,0,0,0,OR51E1,0,0,0,0,0,0,0,0,OR51E1,0,0,0,0,0,0,0,OR51E1,0,0,0,0,0,-3.473,0,0,OR51E1,0,0,0,0,0,0,0,0,0,OR51E1,0,0,0,0,0,-3.609,0,0,0,OR51E1,0,0,0,0,0,0
OR51E2,0,0,0,0,0,0,0,OR51E2,0,0,0,0,0,0,0,0,0,OR51E2,0,0,0,0,0,0,0,0,OR51E2,0,0,0,0,0,0,0,OR51E2,0,0,0,0,0,0,0,0,OR51E2,0,0,0,0,0,0,0,0,0,OR51E2,0,0,0,0,0,0,0,0,0,OR51E2,0,0,0,-3.963,0,0
OR51L1,0,0,0,0,0,0,0,OR51L1,0,0,0,0,0,0,0,0,0,OR51L1,0,0,0,0,0,0,0,0,OR51L1,0,0,0,0,0,0,0,OR51L1,-4.17,0,0,0,0,0,0,0,OR51L1,0,0,0,0,0,0,0,0,0,OR51L1,-3.834,0,0,0,0,0,0,0,0,OR51L1,0,0,0,0,0,0
OR5P3,0,0,-5.173,0,0,0,0,OR5P3,-4.846,0,0,0,-2.962,-3.758,0,0,0,OR5P3,0,0,0,0,0,0,0,0,OR5P3,0,0,0,0,-3.898,0,0,OR5P3,0,0,0,0,0,0,0,-5.25,OR5P3,0,0,0,0,0,0,0,0,0,OR5P3,0,0,0,0,0,0,0,0,0,OR5P3,0,0,0,0,0,0